Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
ALZAIA;NAVIGLIO GRANDE;8,00;5144.0;6,00;14,00;14;4 STELLE;HOTEL MAISON BORELLA;1,00;1;25,00;25;Hotel
CORSO;BUENOS AIRES;18,00;2129.0;3,00;16,00;16;1 STELLA;hotel aurora;1,00;1;25,00;25;Hotel
CORSO;BUENOS AIRES;26,00;2129.0;3,00;25,00;25;3 STELLE;hotel buenos aires;1,00;1;39,00;39;Hotel
CORSO;BUENOS AIRES;2,00;2129.0;3,00;46,00;"15;11;8";3 STELLE;albergo fenice;4,00;"1;2;3;4";98,00;"24;19;13";Hotel
CORSO;BUENOS AIRES;33,00;2129.0;3,00;65,00;0;4 STELLE;GALAXY G SRL;1,00;1;97,00;0;Hotel
CORSO;BUENOS AIRES;3,00;2129.0;3,00;116,00;"4;23;24;24";4 STELLE;cristoforo colombo;4,00;"2;3;4;5";191,00;"5;38;40;40";Hotel
CORSO;COLOMBO CRISTOFORO;15,00;5114.0;6,00;39,00;39;3 STELLE;hotel minerva;1,00;1;60,00;60;Hotel
CORSO;COLOMBO CRISTOFORO;15,00;5114.0;6,00;44,00;0;3 STELLE;hotel minerva;1,00;1;67,00;0;Hotel
CORSO;CONCORDIA;1,00;3116.0;3,00;77,00;77;5 STELLE;Non Specificato;1,00;1;180,00;180;Hotel
CORSO;DI PORTA ROMANA;48,00;402.0;1,00;56,00;56;4 STELLE;hotel lloyd;1,00;1;100,00;100;Hotel
CORSO;DI PORTA ROMANA;64,00;402.0;1,00;72,00;72;4 STELLE;hotel romana residence;6,00;"1;2;3;4;5;6";147,00;147;Residence
CORSO;EUROPA;9,00;300.0;1,00;89,00;"12;12;12;12;12;11;5";4 STELLE;hotel galileo;7,00;"1;2;3;4;5;6;7";159,00;"22;22;22;22;22;21;6";Hotel
CORSO;GARIBALDI GIUSEPPE;68,00;1010.0;1,00;89,00;89;3 STELLE;hotel ritter;7,00;"1;2;3;4;5;6;7";172,00;172;Hotel
CORSO;GARIBALDI GIUSEPPE;84,00;1010.0;1,00;98,00;"14;14;14;14;14;14;14";4 STELLE;carlyle brera hotel;7,00;"1;2;3;4;5;6;7";203,00;"29;29;29;29;29;29;29";Hotel
CORSO;ITALIA;34,00;526.0;1,00;41,00;41;4 STELLE;residence di corso italia;1,00;1;81,00;81;Residence
CORSO;ITALIA;11,00;not specified;1,00;39,00;"8;16;17";3 STELLE;hotel zurigio;3,00;"T;1;2";70,00;"14;24;21";Hotel
CORSO;LODI;74,00;4068.0;4,00;27,00;27;1 STELLA;hotel del sud;1,00;1;46,00;46;Hotel
CORSO;MAGENTA;61,00;604.0;1,00;105,00;105;3 STELLE;palazzo delle stelline;1,00;1;167,00;167;Hotel
CORSO;MAGENTA;78,00;604.0;1,00;16,00;16;3 STELLE;antica locanda leonardo;1,00;1;35,00;35;Hotel
CORSO;MAGENTA;19,00;not specified;1,00;48,00;8;4 STELLE;hotel king;6,00;"1;2;3;4;5;6";96,00;"16;17;15";Hotel
CORSO;MATTEOTTI GIACOMO;4,00;218.0;1,00;154,00;154;1 STELLA;boscolo hotel exedra;1,00;1;308,00;308;Hotel
CORSO;SEMPIONE;69,00;7137.0;8,00;83,00;83;4 STELLE;hotel nasco;1,00;1;211,00;211;Hotel
CORSO;SEMPIONE;91,00;not specified;8,00;113,00;0;4 STELLE;enterprise hotel;1,00;1;216,00;0;Hotel
